THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
AVALON                                                       |NEW DAY
AMBER RUN                                                    |I FOUND
RON POPE                                                     |A DROP IN THE OCEAN
AC/DC                                                        |DIRTY DEEDS DONE DIRT CHEAP (LIVE)
JOURNEY                                                      |DON'T STOP BELIEVIN' (2008 VERSION)
HOT CHELLE RAE                                               |HONESTLY
PHIL COLLINS                                                 |SOMETHING HAPPENED ON THE WAY TO HEAVEN
THE HONEYCOMBS                                               |HAVE I THE RIGHT
TAYLOR SWIFT                                                 |BAD BLOOD (FEAT. KENDRICK LAMAR)
SWEET                                                        |LOVE IS LIKE OXYGEN
PARACHUTE                                                    |SHE IS LOVE
ETTA JAMES                                                   |AT LAST
AVRIL LAVIGNE                                                |I'M WITH YOU
BILL HALEY & HIS COMETS                                      |SEE YOU LATER, ALLIGATOR
WILDBOYRA                                                    |WILDNOUT
NF                                                           |THERAPY SESSION
CAKE                                                         |NEVER THERE
NOSTALGIA                                                    |THE HERO
RATT                                                         |LAY IT DOWN
SEETHER                                                      |CARELESS WHISPER
GRAMATIK                                                     |THE PROPHET
APOCALYPTICA                                                 |NOT STRONG ENOUGH
BUDDY HOLLY                                                  |IT DOESN'T MATTER ANYMORE
THE CARS                                                     |DRIVE
GARY NUMAN                                                   |CARS
RADICAL FACE                                                 |WRAPPED IN PIANO STRINGS
THE GOO GOO DOLLS                                            |NAME
MATCHBOX TWENTY                                              |IF YOU'RE GONE
NEIL YOUNG                                                   |CINNAMON GIRL
JFB                                                          |DUCK JAM
DURAN DURAN                                                  |RIO (PART ONE)
THE FRAY                                                     |ENOUGH FOR NOW
STRAIGHT NO CHASER                                           |THE MAN WHO CAN'T BE MOVED
OXYMORON                                                     |ANTI
DEAD KENNEDYS                                                |WINNEBAGO WARRIOR
HUSKER DU                                                    |SOMETHING I LEARNED TODAY
BILLY PRESTON                                                |MY SWEET LORD (LIVE)
AMP (CCM)                                                    |IN YOUR HANDS
GEORGE HARRISON                                              |WHAT IS LIFE
ANBERLIN                                                     |PAPERTHIN HYMN
RIHANNA                                                      |TAKE A BOW
PHARRELL WILLIAMS                                            |HAPPY
USHER                                                        |MY BOO
DESTINY'S CHILD                                              |SAY MY NAME
NICKELBACK                                                   |NEVER GONNA BE ALONE
EVANESCENCE                                                  |SWEET SACRIFICE
OCEANLAB                                                     |LONELY GIRL
ROYAL BLOOD (ROCK)                                           |FIGURE IT OUT
OPETH                                                        |I FEEL THE DARK
CHRIS BROWN                                                  |TURN UP THE MUSIC
DAVID GUETTA                                                 |HEY MAMA (FEAT. NICKI MINAJ, BEBE REXHA & AFROJACK) (CLUB KILLERS REMIX)
GO PERISCOPE                                                 |TAKE IT PERSONAL
GOOD CHARLOTTE                                               |DANCE FLOOR ANTHEM (I DON'T WANT TO BE IN LOVE)
AC/DC                                                        |YOU SHOOK ME ALL NIGHT LONG (LIVE)
JOURNEY                                                      |SEPARATE WAYS (2008 VERSION)
AKON                                                         |BABY I'M BACK (FEAT. BABY BASH)
SCANDAL                                                      |GOODBYE TO YOU
LA BOUCHE                                                    |BE MY LOVER (CLUB MIX)
AFROMAN                                                      |COLT 45
WALK THE MOON                                                |SHUT UP AND DANCE (LIVE)
AC/DC                                                        |GIMME A BULLET
FYTCH, CAPTAIN CRUNCH & CARMEN FORBES                        |RAINDROPS (RADIO EDIT)
THE GREEN                                                    |LOVE & AFFECTION (BILLY VAN REMIX)
2PAC                                                         |UNCONDITIONAL LOVE
RUDIMENTAL                                                   |NOT GIVING IN
DAVID LEE ROTH                                               |JUST A GIGOLO
WHITNEY HOUSTON                                              |I WANNA DANCE WITH SOMEBODY
P!NK                                                         |PLEASE DON'T LEAVE ME
GINUWINE                                                     |PONY (EXTENDED MIX)
NICKELBACK                                                   |IF TODAY WAS YOUR LAST DAY
HI_TACK                                                      |LET'S DANCE (DENNIS CHRISTOPHER MOJITO MIX)
D NUMBERS                                                    |XYLEM UP
CHEVELLE                                                     |JARS
JAY PARK                                                     |DRIVE (FEAT. GRAY)
NITRO FUN                                                    |NEW GAME
DIO                                                          |BREATHLESS
QUEENSRYCHE                                                  |SPEAK
PHILLIP PHILLIPS                                             |GONE, GONE, GONE
ROY ORBISON                                                  |ALL I HAVE TO DO IS DREAM
NEIL SEDAKA                                                  |CALENDAR GIRL
JUSTIN TIMBERLAKE                                            |ROCK YOUR BODY
MIMI & ANA GUERRA                                            |DON'T YOU WORRY `BOUT A THING
COLEMAN HELL                                                 |FIREPROOF
'WEIRD AL' YANKOVIC                                          |YOU MAKE ME
SAM COOKE                                                    |CHAIN GANG
NE-YO                                                        |SEXY LOVE
DIO                                                          |GUILTY
OTIS REDDING                                                 |PAIN IN MY HEART
HAROLD FALTERMEYER                                           |AXEL F
JORDIN SPARKS                                                |ONE STEP AT A TIME
THE MCCOYS                                                   |HANG ON SLOOPY
DAVE CLARK FIVE                                              |GLAD ALL OVER
BIG GIGANTIC                                                 |BLUE DREAM
J BALVIN & WILLY WILLIAM                                     |MI GENTE
JEAN ELAN                                                    |WHERE'S YOUR HEAD AT (KLAAS REMIX)
CALVIN HARRIS                                                |FAITH
HOOTIE & THE BLOWFISH                                        |TUCKER'S TOWN
GUMMIBÄR (CHILDREN'S)                                        |FUNNY DJ
T-PAIN                                                       |I'M SPRUNG
GERRY RAFFERTY                                               |RIGHT DOWN THE LINE
CROWDED HOUSE                                                |DON'T DREAM IT'S OVER
KENNY WAYNE SHEPHERD                                         |BLUE ON BLACK
AUDIOSLAVE                                                   |GETAWAY CAR
ERMA FRANKLIN                                                |HIGHER AND HIGHER
MADNESS                                                      |OUR HOUSE
THOMPSON TWINS                                               |DOCTOR! DOCTOR!
DON HENLEY                                                   |DIRTY LAUNDRY
ROBIN WILLIAMS (CHILDREN'S)                                  |FRIEND LIKE ME
ISIS                                                         |WRISTS OF KINGS
CAT STEVENS                                                  |PEACE TRAIN
STARSHIP                                                     |WE BUILT THIS CITY
EVERCLEAR                                                    |SANTA MONICA
SECONDHAND SERENADE                                          |FALL FOR YOU
DEPECHE MODE                                                 |JUST CAN'T GET ENOUGH
JACK JOHNSON                                                 |BIG SUR
GRITS                                                        |OOH AHH (MY LIFE BE LIKE) (FEAT. TOBY MAC)
THE BLACK KEYS                                               |SINISTER KID
ARCADE FIRE                                                  |NEIGHBORHOOD #1 (TUNNELS)
I AM GIANT                                                   |AND WE'LL DEFY
BROTHER ALI                                                  |BABY GIRL
JEM                                                          |IT'S AMAZING
FLIGHT OF THE CONCHORDS                                      |HURT FEELINGS
ALEX NEWELL                                                  |NOBODY TO LOVE
DUSTY SPRINGFIELD                                            |SON OF A PREACHER MAN
RICHARD M. SHERMAN & ROBERT B. SHERMAN (CHILDREN'S)          |SUPERCALIFRAGILISTICEXPIALIDOCIOUS
TECH N9NE                                                    |MAMA NEM
DATSIK & DOWNLINK                                            |SYNDROME
MSTRKRFT                                                     |BEARDS AGAIN
ONE DIRECTION                                                |WHAT MAKES YOU BEAUTIFUL
THE CASCADES                                                 |RHYTHM OF THE RAIN
DEATH CAB FOR CUTIE                                          |I WILL FOLLOW YOU INTO THE DARK
MULLAGE                                                      |TRICK'N (RADIO VERSION)
SHAKIRA                                                      |HIPS DON'T LIE
BUSH                                                         |GLYCERINE (ACOUSTIC) (LIVE)
ANBERLIN                                                     |CREEP
J.D. SOUTHER                                                 |EVERYDAY
BOBBY DARIN                                                  |SPLISH SPLASH
JOLIN TSAI & ALESSO                                          |PLAY (ALESSO REMIX VERSION)
CASCADA                                                      |EVERYTIME WE TOUCH
KENNY TAKITO PRES. CRASH & BURN                              |SUNRISE
OLIVIA NEWTON-JOHN                                           |PHYSICAL
NEO & FARINA                                                 |BINARY REFINED
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA) (RAC MIX)
ALESSO                                                       |HEROES (WE COULD BE) (FEAT. TOVE LO) (BRANCHEZ REMIX)
JEREMIH                                                      |WANNA GET UP
LEN BARRY                                                    |1/2/2003
JASON DERULO                                                 |FIGHT FOR YOU
AUDIOSLAVE                                                   |LIKE A STONE
ONE DIRECTION                                                |STORY OF MY LIFE
SHOW BANGA                                                   |CHECK ME OUT (FEAT. IAMSU!)
BUBBLES                                                      |BIDIBODI BIDIBU
FADED PAPER FIGURES                                          |NORTH BY NORTH
TOM COCHRANE                                                 |LIFE IS A HIGHWAY
DEMI LOVATO                                                  |SKYSCRAPER
ANNA KENDRICK                                                |CUPS (PITCH PERFECT'S "WHEN I'M GONE")
RIO (SOUNDTRACK)                                             |TAKE YOU TO RIO
OTIS REDDING                                                 |(SITTIN' ON) THE DOCK OF THE BAY
NINA SIMONE                                                  |FEELING GOOD
PANIC! AT THE DISCO                                          |COLLAR FULL
SEASONS AFTER                                                |LIGHTS OUT
MY CHEMICAL ROMANCE                                          |THANK YOU FOR THE VENOM
RAMMSTEIN                                                    |ICH TU DIR WEH
WHAM!                                                        |EVERYTHING SHE WANTS
BREATHE CAROLINA                                             |GONE SO LONG
SHOWTEK & JUSTIN PRIME                                       |CANNONBALL (EARTHQUAKE) (KRYDER REMIX)
SLY & THE FAMILY STONE                                       |THANK YOU (FALETTINME BE MICE ELF AGIN)
THE ALLMAN BROTHERS BAND                                     |MELISSA
SILENTÓ                                                      |WATCH ME (WHIP / NAE NAE)
CIARA                                                        |1, 2 STEP
CHRIS BROWN                                                  |GIMME THAT
EIFFEL 65                                                    |MOVE YOUR BODY
REDNEX                                                       |COTTON EYE JOE
ELLIE GOULDING                                               |ANYTHING COULD HAPPEN
OASIS                                                        |SHE'S ELECTRIC
SUPERGRASS                                                   |KICK IN THE TEETH
KENNY WAYNE SHEPHERD                                         |SLOW RIDE
THE PRODIGY (DANCE)                                          |THUNDER
SPECIMEN A (DANCE)                                           |FREAK IN US
PENDULUM                                                     |BLOOD SUGAR
CROSBY, STILLS, NASH & YOUNG                                 |CARRY ON
BEYONCÉ                                                      |HALO
FLORENCE + THE MACHINE                                       |DOG DAYS ARE OVER
THE STROKES                                                  |BETWEEN LOVE & HATE
TWO DOOR CINEMA CLUB                                         |SOMETHING GOOD CAN WORK (THE TWELVES REMIX)
MATTHEW WILDER & DAVID ZIPPEL (CHILDREN'S)                   |A GIRL WORTH FIGHTING FOR
ALAN MENKEN (CHILDREN'S)                                     |JUST AROUND THE RIVERBEND
KRIZZ KALIKO                                                 |BACK PACK
GINO VANNELLI                                                |LIVING INSIDE MYSELF
THA ALKAHOLIKS                                               |MARY JANE
THE GANJA KRU                                                |NEW FRONTIERS
ELVIN BISHOP                                                 |FOOLED AROUND AND FELL IN LOVE
ELVIS PRESLEY                                                |BURNING LOVE
QUEEN                                                        |FAT BOTTOMED GIRLS (1991 BONUS REMIX BY BRIAN MALOUF)
JAMES BROWN                                                  |I GOT YOU (I FEEL GOOD)
THREE DOG NIGHT                                              |JOY TO THE WORLD
MICHAEL JACKSON                                              |THRILLER
38 SPECIAL                                                   |CAUGHT UP IN YOU (ALBUM VERSION)
GLEN CAMPBELL                                                |WITCHITA LINEMAN
GLEN CAMPBELL                                                |WICHITA LINEMAN
FOREIGNER                                                    |WAITING FOR A GIRL LIKE YOU
THE MANHATTANS                                               |SHINING STAR
ELECTRIC LIGHT ORCHESTRA                                     |HOLD ON TIGHT
CHEAP TRICK                                                  |DREAM POLICE
CHEAP TRICK                                                  |I WANT YOU TO WANT ME
THE DRIFTERS                                                 |UNDER THE BOARDWALK
JAY & THE AMERICANS                                          |THIS MAGIC MOMENT
DION & THE BELMONTS                                          |THE WANDERER
ELTON JOHN                                                   |CROCODILE ROCK
SUPERTRAMP                                                   |GOODBYE STRANGER
RUPERT HOLMES                                                |ESCAPE (THE PINA COLADA SONG)
THE CARS                                                     |YOU MIGHT THINK
CHEAP TRICK                                                  |I WANT YOU TO WANT ME (EARLY VERSION)
NEIL DIAMOND                                                 |CHERRY, CHERRY
THE ZOMBIES                                                  |TIME OF THE SEASON (MONO VERSION)
MANFRED MANN                                                 |BLINDED BY THE LIGHT
BILLY JOEL                                                   |MOVIN' OUT (ANTHONY'S SONG)
THE ROLLING STONES                                           |MISS YOU (DANCE VERSION)
STYX                                                         |COME SAIL AWAY
JOURNEY                                                      |WHO'S CRYING NOW
THE DEL-VIKINGS                                              |COME GO WITH ME (MASTER)
ELVIS PRESLEY                                                |HOUND DOG
SWEET                                                        |WIG WAM BAM
LIONEL RICHIE                                                |EASY
ELECTRIC LIGHT ORCHESTRA                                     |EVIL WOMAN
ELECTRIC LIGHT ORCHESTRA                                     |SWEET TALKIN' WOMAN
VAN HALEN                                                    |YOU REALLY GOT ME
THE LAUREL CANYON ANIMAL COMPANY                             |LAKE SHORE DRIVE
CLIMAX BLUES BAND                                            |COULDN'T GET IT RIGHT
ELECTRIC LIGHT ORCHESTRA                                     |STRANGE MAGIC
PURE PRAIRIE LEAGUE                                          |FALLING IN AND OUT OF LOVE
DARYL HALL & JOHN OATES                                      |SHE'S GONE
PURE PRAIRIE LEAGUE                                          |AMIE
DAVID BOWIE                                                  |UNDER PRESSURE
JIM CROCE                                                    |I'LL HAVE TO SAY I LOVE YOU IN A SONG
FRANKIE VALLI & THE FOUR SEASONS                             |DECEMBER, 1963 (OH WHAT A NIGHT)
DARYL HALL & JOHN OATES                                      |MANEATER
BOSTON                                                       |FOREPLAY / LONG TIME
CHEAP TRICK                                                  |I WANT YOU TO WANT ME (ALTERNATE VERSION)
DARYL HALL & JOHN OATES                                      |OUT OF TOUCH
TOM PETTY                                                    |REFUGEE
TOM PETTY                                                    |DON'T DO ME LIKE THAT
BUFFALO SPRINGFIELD                                          |FOR WHAT IT'S WORTH (PREVIOUSLY UNRELEASED VERSION)
ELECTRIC LIGHT ORCHESTRA                                     |LIVIN' THING
ORLEANS                                                      |DANCE WITH ME
JAY & THE AMERICANS                                          |COME A LITTLE BIT CLOSER
ELECTRIC LIGHT ORCHESTRA                                     |DO YA
MICHAEL JACKSON                                              |BEAT IT
BLUE OYSTER CULT                                             |BURNIN' FOR YOU
DARYL HALL & JOHN OATES                                      |PRIVATE EYES
ELVIS PRESLEY                                                |CAN'T HELP FALLING IN LOVE
JAY & THE AMERICANS                                          |COME A LITTLE BIT CLOSER (RE-RECORDED)
THE ROMANTICS                                                |WHAT I LIKE ABOUT YOU
GEORGE HARRISON                                              |WHILE MY GUITAR GENTLY WEEPS (LIVE)
THE CLASH                                                    |SHOULD I STAY OR SHOULD I GO
THE DEL-VIKINGS                                              |COME GO WITH ME
FRANKIE VALLI & THE FOUR SEASONS                             |WALK LIKE A MAN
RUPERT HOLMES                                                |ESCAPE (THE PIÑA COLADA SONG)
FLEETWOOD MAC                                                |RHIANNON
FLEETWOOD MAC                                                |LANDSLIDE
CHRISTOPHER CROSS                                            |RIDE LIKE THE WIND
JIM CROCE                                                    |BAD, BAD LEROY BROWN
THE FOUNDATIONS                                              |BUILD ME UP BUTTERCUP (SINGLE VERSION)
THE BEACH BOYS                                               |FUN, FUN, FUN
TOTO                                                         |HOLD THE LINE
ALIOTTA, HAYNES, JEREMIAH                                    |LAKE SHORE DRIVE
LITTLE RIVER BAND                                            |REMINISCING
FLEETWOOD MAC                                                |DON'T STOP
THE DOOBIE BROTHERS                                          |WHAT A FOOL BELIEVES
FLEETWOOD MAC                                                |RHIANNON (LIVE 1997)
PLAYER                                                       |BABY COME BACK
VAN HALEN                                                    |JUMP
CHEAP TRICK                                                  |SURRENDER
SWEET                                                        |FOX ON THE RUN
THE TEMPTATIONS                                              |GET READY
THE CARS                                                     |GOOD TIMES ROLL
JOHN DENVER                                                  |TAKE ME HOME, COUNTRY ROADS
STEVIE NICKS                                                 |EDGE OF SEVENTEEN
FLEETWOOD MAC                                                |GO YOUR OWN WAY
EDDIE RABBITT                                                |DRIVIN MY LIFE AWAY
ROBBIE DUPREE                                                |STEAL AWAY
SWEET                                                        |BALLROOM BLITZ
PILOT                                                        |MAGIC
GEORGE HARRISON                                              |MY SWEET LORD
SILVER                                                       |WHAM BAM SHANG-A-LANG
FLEETWOOD MAC                                                |DREAMS
ELECTRIC LIGHT ORCHESTRA                                     |DON'T BRING ME DOWN
THIN LIZZY                                                   |THE BOYS ARE BACK IN TOWN
THE CARS                                                     |JUST WHAT I NEEDED
ELECTRIC LIGHT ORCHESTRA                                     |MR. BLUE SKY
THE GUESS WHO                                                |THESE EYES
COMMODORES                                                   |EASY
GEORGE HARRISON                                              |GOT MY MIND SET ON YOU
SEALS & CROFTS                                               |SUMMER BREEZE
BUDDY HOLLY                                                  |EVERYDAY
ROY ORBISON                                                  |OH PRETTY WOMAN
FLEETWOOD MAC                                                |THE CHAIN
ELECTRIC LIGHT ORCHESTRA                                     |TURN TO STONE
DARYL HALL & JOHN OATES                                      |KISS ON MY LIST
NEIL DIAMOND                                                 |SWEET CAROLINE
QUEEN                                                        |BOHEMIAN RHAPSODY (REMASTERED 2011)
REDBONE                                                      |COME AND GET YOUR LOVE (RE-RECORDED)
KING HARVEST                                                 |DANCING IN THE MOONLIGHT 2
BLUE SWEDE                                                   |HOOKED ON A FEELING
QUEEN                                                        |YOU'RE MY BEST FRIEND
SILVER                                                       |ALL I WANNA DO
JIM CROCE                                                    |TIME IN A BOTTLE
FLEETWOOD MAC                                                |YOU MAKE LOVING FUN
BEN E. KING                                                  |THIS MAGIC MOMENT
FLEETWOOD MAC                                                |SILVER SPRINGS
RAY CHARLES                                                  |HIT THE ROAD JACK (LIVE)
GEORGE HARRISON                                              |ALL THOSE YEARS AGO
DION & THE BELMONTS                                          |I WONDER WHY
FLEETWOOD MAC                                                |GYPSY
HARRY BELAFONTE                                              |ANGELINA
AMERICA                                                      |YOU CAN DO MAGIC
LOOKING GLASS                                                |BRANDY (YOU'RE A FINE GIRL)
SILVER                                                       |NO WONDER
JIM CROCE                                                    |OPERATOR (THAT'S NOT THE WAY IT FEELS)
ELECTRIC LIGHT ORCHESTRA                                     |TIGHTROPE
GEORGE HARRISON                                              |GIVE ME LOVE (GIVE ME PEACE ON EARTH)
JOHN LENNON                                                  |WATCHING THE WHEELS
GLEN CAMPBELL                                                |COUNT ON ME
JERRY REED                                                   |EAST BOUND AND DOWN
JIM CROCE                                                    |YOU DON'T MESS AROUND WITH JIM
ELECTRIC LIGHT ORCHESTRA                                     |CALLING AMERICA
DAVID BOWIE                                                  |SPACE ODDITY
EAGLES                                                       |LIFE IN THE FAST LANE
AMERICA                                                      |HORSE WITH NO NAME
BEN E. KING                                                  |SAVE THE LAST DANCE FOR ME
AMERICA                                                      |VENTURA HIGHWAY (LIVE AT THE TROUBADOUR)
SILVER                                                       |CLIMBING
THE FIVE STAIRSTEPS                                          |O-O-H CHILD
GUNS N' ROSES                                                |SWEET CHILD O' MINE (LIVE)
CHEAP TRICK                                                  |I WANT YOU TO WANT ME (LIVE)
CHEAP TRICK                                                  |SURRENDER (LIVE)
AC/DC                                                        |IT'S A LONG WAY TO THE TOP (IF YOU WANNA ROCK 'N' ROLL)
MICHAEL MCDONALD                                             |I KEEP FORGETTIN'
WARREN ZEVON                                                 |WEREWOLVES OF LONDON
GLEN CAMPBELL                                                |IF THIS IS LOVE
ACE                                                          |HOW LONG
JIM CROCE                                                    |I GOT A NAME
TOM PETTY                                                    |LEARNING TO FLY
ELECTRIC LIGHT ORCHESTRA                                     |TELEPHONE LINE
SILVER                                                       |MEMORY
HARRY BELAFONTE                                              |DAY-O (BANANA BOAT SONG)
ELECTRIC LIGHT ORCHESTRA                                     |ALL OVER THE WORLD
CHEAP TRICK                                                  |SURRENDER (OUTTAKE)
SIMON & GARFUNKEL                                            |THE SOUND OF SILENCE (LIVE 1969)
GORDON LIGHTFOOT                                             |SUNDOWN
PAUL SIMON                                                   |KODACHROME
CREEDENCE CLEARWATER REVIVAL                                 |BORN ON THE BAYOU
SAM COOKE                                                    |TWISTIN' THE NIGHT AWAY
ALIOTTA, HAYNES, JEREMIAH                                    |SNOW QUEEN
NEIL YOUNG                                                   |HEART OF GOLD
CAT STEVENS                                                  |WILD WORLD
THE YOUNGBLOODS                                              |GET TOGETHER
THE SPINNERS                                                 |I'LL BE AROUND
GINO VANNELLI                                                |I JUST WANNA STOP
AMBROSIA                                                     |HOW MUCH I FEEL (REMASTERED VERSION)
BOB SEGER                                                    |NIGHT MOVES
THE CARS                                                     |MOVING IN STEREO
CHRISTOPHER CROSS                                            |NEVER BE THE SAME
TOM PETTY                                                    |YOU GOT LUCKY
SIMON & GARFUNKEL                                            |THE SOUND OF SILENCE
JOHN MELLENCAMP                                              |PINK HOUSES
CHEAP TRICK                                                  |IF YOU WANT MY LOVE (ALTERNATE VERSION)
SWEET                                                        |FOX ON THE RUN (LIVE)
THE MOODY BLUES                                              |HIGHWAY
ELVIS PRESLEY                                                |DON'T BE CRUEL
THE BEACH BOYS                                               |DON'T WORRY BABY
GLEN CAMPBELL                                                |SOUTHERN NIGHTS
GLEN CAMPBELL                                                |RHINESTONE COWBOY
THE DOOBIE BROTHERS                                          |TAKIN' IT TO THE STREETS
EAGLES                                                       |THE BEST OF MY LOVE
EAGLES                                                       |ONE OF THESE NIGHTS
CHARLIE RICH                                                 |THE MOST BEAUTIFUL GIRL
ELECTRIC LIGHT ORCHESTRA                                     |MR. BLUE SKY (LIVE)
CHEAP TRICK                                                  |THAT 70'S SONG
JAY & THE AMERICANS                                          |THIS MAGIC MOMENT (RE-RECORDED)
JAY & THE AMERICANS                                          |CRYING
THE BAND                                                     |THE WEIGHT
GLEN CAMPBELL                                                |SEE YOU ON SUNDAY
JAMES TAYLOR                                                 |FIRE AND RAIN
DEPECHE MODE                                                 |ENJOY THE SILENCE
SWEET                                                        |LITTLE WILLY
TOMMY TUTONE                                                 |867-5309 / JENNY
THE CARS                                                     |MY BEST FRIEND'S GIRL
VAN HALEN                                                    |DANCE THE NIGHT AWAY
DON MCLEAN                                                   |AMERICAN PIE - NEW VERSION
THE ROLLING STONES                                           |BEAST OF BURDEN
CROSBY, STILLS & NASH                                        |SUITE: JUDY BLUE EYES
JAY & THE AMERICANS                                          |SAVE THE LAST DANCE FOR ME
THE AMERICAN BREED                                           |BEND ME, SHAPE ME
JAY & THE AMERICANS                                          |CARA MIA
MAKJ                                                         |HOLD UP
KILL THE NOISE                                               |ROCKERS (BRO SAFARI & UFO! REMIX)
AVICII & NICKY ROMERO                                        |I COULD BE THE ONE (NICKTIM) (AUDRIO REMIX)
FLOSSTRADAMUS & YELLOW CLAW                                  |PILLZ
KEYS N KRATES                                                |TREAT ME RIGHT
MARTIN GARRIX & JAY HARDWAY                                  |ERROR 404
PRESTON JAMES                                                |WASTED
AVICII & NICKY ROMERO                                        |I COULD BE THE ONE (NICKTIM) (DIDRICK REMIX)
YOLANDA BE COOL                                              |CHANGE (OH SNAP REMIX)
BINGO PLAYERS                                                |GET UP (RATTLE) (ORIGINAL INSTRUMENTAL)
SANDER VAN DOORN                                             |JOYENERGIZER
MARKUS SCHULZ                                                |THE SPIRITUAL GATEWAY - TRANSMISSION THEME 2013 (RADIO EDIT)
CARNAGE & BORGORE                                            |INCREDIBLE (EXTENDED)
CARNAGE (DJ)                                                 |SIGNAL
CALVIN HARRIS                                                |C.U.B.A
CARNAGE (DJ)                                                 |BOOTSHAUS (FEAT. WHYEL)
ALVARO & MERCER                                              |WELCOME TO THE JUNGLE
CARNAGE (DJ)                                                 |NOVEMBER SKIES (FEAT. TOMAS BARFOD & NINA KINERT)
CARNAGE (DJ)                                                 |THE SOUND (FEAT. JUNKIE KID)
CARNAGE (DJ)                                                 |BRICKS (FEAT. MIGOS)
CARNAGE (DJ)                                                 |KAT!E (INSTRUMENTAL)
CARNAGE (DJ)                                                 |RGV (FEAT. MILO & OTIS)
TNGHT                                                        |HIGHER GROUND
TWRK                                                         |BADINGA!
ROYAL-T                                                      |KOOPA SHELL
SUB ANTIX & PHANTASMA                                        |RADICAL
BRILLZ                                                       |SMASHI TUP (CORY ENEMY REMIX)
THE PRESETS                                                  |GHOSTS (HERMITUDE TRAPPED IN HEAVEN REMIX)
ETC! ETC!, BRILLZ & DIPLO                                    |SWOOP
HALOGRAMS                                                    |MAKE IT REIGN
JANTSEN                                                      |WHEN THE BEATS DROP
RL GRIME                                                     |HEARD ME
MT. EDEN                                                     |SIERRA LEONE (TOMMIE SUNSHINE & LIVE CITY REMIX)
KILL THE NOISE                                               |ROOTS (BRILLZ REMIX)
DONKONG                                                      |BEAMER
DIMITRI VEGAS, LIKE MIKE & GTA                               |TURN IT UP (PELARI TRAP REMIX)
RUSTIE                                                       |SLASHERR
MIMOSA                                                       |LOST
STEVE AOKI, CHRIS LAKE & TUJAMO                              |BONELESS (KEYS N KRATES REMIX)
BRILLZ                                                       |WTPA (FEAT. MS WILLIAMS)
RICKY REMEDY                                                 |SLUGGIN
BIG CHOCOLATE                                                |BLUE MILK
BRILLZ                                                       |HAWT
BRILLZ                                                       |GEEKIN (FEAT. QUE)
BRILLZ                                                       |BUCK (FEAT. GANGSTA BOO)
BRILLZ                                                       |DEJA VU
BRILLZ                                                       |HAWT (GETTER REMIX)
FALL OUT BOY                                                 |THE LAST OF THE REAL ONES
AMY SHARK                                                    |ADORE
WEEZER                                                       |BEACH BOYS
THE ACADEMIC                                                 |BEAR CLAWS
THIRTY SECONDS TO MARS                                       |WALK ON WATER
IMAGINE DRAGONS                                              |WHATEVER IT TAKES
DEAL CASINO                                                  |RED BALLOON
VANCE JOY                                                    |LIKE GOLD
LILY ALLEN                                                   |TRIGGER BANG (FEAT. GIGGS)
WALK THE MOON                                                |ONE FOOT
IMAGINE DRAGONS                                              |RADIOACTIVE (FEAT. KENDRICK LAMAR)
AWOLNATION                                                   |SAIL (UNLIMITED GRAVITY REMIX)
THOMAS BERGERSEN                                             |EMPIRE OF ANGELS
FLO RIDA                                                     |GDFR (FEAT. SAGE THE GEMINI & LOOKAS)
PITBULL                                                      |SHAKE SENORA REMIX
DAVID GUETTA                                                 |PLAY HARD (R3HAB REMIX)
CALVIN HARRIS                                                |LET'S GO (FEAT. NE-YO)
PITBULL                                                      |THE ANTHEM
USHER                                                        |SCREAM (PROJECT 46 REMIX)
PITBULL                                                      |SHAKE SENORA
LMFAO                                                        |SEXY AND I KNOW IT
ONEREPUBLIC                                                  |LOVE RUNS OUT
FLO RIDA                                                     |GDFR (FEAT. SAGE THE GEMINI & LOOKAS) (NOLASWIFT REMIX)
JASON DERULO                                                 |TALK DIRTY
FLO RIDA                                                     |WHISTLE
USHER                                                        |MORE
PITBULL                                                      |TIMBER
DIO                                                          |HOLY DIVER
IRON MAIDEN                                                  |THE NUMBER OF THE BEAST
IRON MAIDEN                                                  |PHANTOM OF THE OPERA (LIVE)
IRON MAIDEN                                                  |THE FALLEN ANGEL
IRON MAIDEN                                                  |RAINMAKER
IRON MAIDEN                                                  |HALLOWED BE THY NAME (AIR CANADA CENTRE/TORONTO, CANADA MARCH 16, 2008) (LIVE)
IRON MAIDEN                                                  |HALLOWED BE THY NAME
IRON MAIDEN                                                  |RUN TO THE HILLS
IRON MAIDEN                                                  |PHANTOM OF THE OPERA
IRON MAIDEN                                                  |THE TROOPER
IRON MAIDEN                                                  |FEAR OF THE DARK (LIVE)
IRON MAIDEN                                                  |ACES HIGH
IRON MAIDEN                                                  |WASTED YEARS
METALLICA                                                    |FOR WHOM THE BELL TOLLS
METALLICA                                                    |FADE TO BLACK
METALLICA                                                    |WELCOME HOME (SANITARIUM)
IRON MAIDEN                                                  |GHOST OF THE NAVIGATOR
IRON MAIDEN                                                  |POWERSLAVE
IRON MAIDEN                                                  |CHILDREN OF THE DAMNED
IRON MAIDEN                                                  |CAUGHT SOMEWHERE IN TIME
IRON MAIDEN                                                  |ACES HIGH (LIVE)
THE CHAINSMOKERS                                             |ROSES (FEAT. ROZES)
MARTIN GARRIX & TIESTO                                       |THE ONLY WAY IS UP (RADIO EDIT)
