CHILDISH GAMBINO                                             |BONFIRE
THE DOORS                                                    |BREAK ON THROUGH (TO THE OTHER SIDE) (NEW STEREO MIX) (ADVANCED RESOLUTION)
COUNTING CROWS                                               |BIG YELLOW TAXI
U2                                                           |VERTIGO
GREEN DAY                                                    |AMERICAN IDIOT
TAYLOR SWIFT                                                 |I DON?T WANNA LIVE FOREVER (FIFTY SHADES DARKER)
OZZY OSBOURNE                                                |CRAZY TRAIN (REMASTERED)
LED ZEPPELIN                                                 |WHEN THE LEVEE BREAKS (REMASTERED)
THE OUTFIELD                                                 |YOUR LOVE
3 DOORS DOWN                                                 |KRYPTONITE
GUNS N' ROSES                                                |NOVEMBER RAIN
LED ZEPPELIN                                                 |GOOD TIMES BAD TIMES (REMASTER)
VARIOUS ARTISTS                                              |BILLIE JEAN
RITCHIE VALENS                                               |LA BAMBA
THE WHO                                                      |WON'T GET FOOLED AGAIN
NAIVE                                                        |THE KOOKS
DANI CALIFORNIA (OFFICIAL MUSIC VIDEO)                       |RED HOT CHILI PEPPERS
ALL STAR (OFFICIAL MUSIC VIDEO)                              |SMASH MOUTH
PARTY ROCK ANTHEM FT. LAUREN BENNETT, GOONROCK               |LMFAO
SWEET HOME ALABAMA                                           |LYNYRD SKYNYRD
MR. BRIGHTSIDE (OFFICIAL MUSIC VIDEO)                        |THE KILLERS
IRIS (OFFICIAL MUSIC VIDEO)                                  |GOO GOO DOLLS
SHE WILL BE LOVED                                            |MAROON 5
CLOCKS (OFFICIAL VIDEO)                                      |COLDPLAY
CHELSEA DAGGER (OFFICIAL MUSIC VIDEO)                        |THE FRATELLIS
COUNTING STARS                                               |ONEREPUBLIC
VIVA LA VIDA                                                 |COLDPLAY
BITTER SWEET SYMPHONY (OFFICIAL VIDEO)                       |THE VERVE
A THOUSAND MILES                                             |VANESSA CARLTON
BRING ME TO LIFE (OFFICIAL MUSIC VIDEO)                      |EVANESCENCE
AMERICAN IDIOT (OFFICIAL VIDEO)                              |GREEN DAY
(OFFICIAL VIDEO)                                             |GREEN DAY: "HOLIDAY"
WAKE ME UP WHEN SEPTEMBER ENDS (OFFICIAL MUSIC VIDEO)        |GREEN DAY
(OFFICIAL VIDEO)                                             |GREEN DAY: "BOULEVARD OF BROKEN DREAMS"
FEELING GOOD (OFFICIAL MUSIC VIDEO)                          |MICHAEL BUBLÉ
STARLIGHT (OFFICIAL MUSIC VIDEO)                             |MUSE
UPRISING (OFFICIAL VIDEO)                                    |MUSE
VERTIGO                                                      |U2
BEAUTIFUL DAY                                                |U2
DOLLY PARTON                                                 |9 TO 5
                                                             |I WILL SURVIVE
EYE OF THE TIGER (OFFICIAL MUSIC VIDEO)                      |SURVIVOR
SWEET CHILD O' MINE (OFFICIAL MUSIC VIDEO)                   |GUNS N' ROSES
DO I WANNA KNOW? (OFFICIAL VIDEO)                            |ARCTIC MONKEYS
R U MINE?                                                    |ARCTIC MONKEYS
LOSE YOURSELF (UNCENCORED)                                   |EMINEM
WHERE IS THE LOVE? (OFFICIAL MUSIC VIDEO)                    |THE BLACK EYED PEAS
'SEVEN NATION ARMY'                                          |THE WHITE STRIPES
BOHEMIAN RHAPSODY (OFFICIAL VIDEO)                           |QUEEN
                                                             |STAND BY ME, BEN E KING, 1961
JAILHOUSE ROCK (LYRICS)                                      |ELVIS PRESLEY
WON'T GET FOOLED AGAIN                                       |THE WHO
JOHNNY B GOOD LYRICS                                         |CHUCK BERRY
                                                             |GRANDMASTER FLASH THE MESSAGE HQ
GO YOUR OWN WAY (HQ)                                         |FLEETWOOD MAC
                                                             |THE MAMAS & THE PAPAS: CALIFORNIA DREAMIN'
YOU REALLY GOT ME                                            |THE KINKS
BROWN EYED GIRL LYRICS                                       |VAN MORRISON
CHANGES                                                      |DAVID BOWIE
WHOLE LOTTA LOVE (OFFICIAL MUSIC VIDEO)                      |LED ZEPPELIN
FORTUNATE SON                                                |CREEDENCE CLEARWATER REVIVAL
LET'S STAY TOGETHER                                          |AL GREEN
EVERY BREATH YOU TAKE (OFFICIAL MUSIC VIDEO)                 |THE POLICE
BILLIE JEAN (OFFICIAL MUSIC VIDEO)                           |MICHAEL JACKSON
SMELLS LIKE TEEN SPIRIT                                      |NIRVANA
KATY PERRY                                                   |ROAR
PASSENGER                                                    |LET HER GO
MARTIN GARRIX                                                |ANIMALS (RADIO EDIT)
EVANESCENCE                                                  |MY IMMORTAL (BAND VERSION)
MGMT                                                         |ELECTRIC FEEL
VARIOUS ARTISTS                                              |MIDNIGHT CITY
MGMT                                                         |KIDS
FLEETWOOD MAC                                                |GO YOUR OWN WAY (2004 REMASTER)
LED ZEPPELIN                                                 |STAIRWAY TO HEAVEN (REMASTER)
FOO FIGHTERS                                                 |THE PRETENDER
EARTH, WIND & FIRE                                           |BOOGIE WONDERLAND
CALVIN HARRIS                                                |SUMMER
LYNYRD SKYNYRD                                               |SIMPLE MAN
OMI                                                          |CHEERLEADER (FELIX JAEHN REMIX RADIO EDIT)
NO DOUBT                                                     |DON'T SPEAK
TEARS FOR FEARS                                              |SHOUT
VARIOUS ARTISTS                                              |COMFORTABLY NUMB
LED ZEPPELIN                                                 |STAIRWAY TO HEAVEN (LIVE AT MSG 1973) (2018 REMASTER)
MGMT                                                         |TIME TO PRETEND
AVICII                                                       |WAKE ME UP
JASON MRAZ                                                   |I WON'T GIVE UP
BLINK-182                                                    |ALL THE SMALL THINGS
DEXY'S MIDNIGHT RUNNERS                                      |COME ON EILEEN
FLEETWOOD MAC                                                |DREAMS (2002 REMASTER)
THE DOOBIE BROTHERS                                          |LONG TRAIN RUNNIN' (FULL GUITAR MIX)
NENA                                                         |99 LUFTBALLONS
SWEDISH HOUSE MAFIA                                          |DON'T YOU WORRY CHILD (RADIO EDIT)
JOE WALSH                                                    |LIFE'S BEEN GOOD
THE DOORS                                                    |LOVE ME TWO TIMES
IMAGINE DRAGONS                                              |ZERO (FROM THE ORIGINAL MOTION PICTURE "RALPH BREAKS THE INTERNET")
AVICII                                                       |HEY BROTHER
CALVIN HARRIS                                                |SUMMER
MUNGO JERRY                                                  |IN THE SUMMERTIME (RE-RECORDED)
SAINT MOTEL                                                  |MY TYPE (PAPER TOWNS SOUNDTRACK VERSION KEEP ARTIST GENRE)
CLEAN BANDIT                                                 |ROCKABYE (FEAT. SEAN PAUL & ANNE-MARIE)
THIRTY SECONDS TO MARS                                       |THE KILL
BJÖRN SKIFS                                                  |HOOKED ON A FEELING
SAINT MOTEL                                                  |MOVE
MUNGO JERRY                                                  |IN THE SUMMERTIME
DR. DRE                                                      |STILL D.R.E.
AMERICA                                                      |TIN MAN
R. KELLY                                                     |IGNITION (REMIX)
LED ZEPPELIN                                                 |IMMIGRANT SONG (REMASTER)
FLEETWOOD MAC                                                |DREAMS
THE DOOBIE BROTHERS                                          |WHAT A FOOL BELIEVES (REMASTERED VERSION)
STEALERS WHEEL                                               |STUCK IN THE MIDDLE WITH YOU
KATY PERRY                                                   |FIREWORK
ELECTRIC LIGHT ORCHESTRA                                     |LIVIN' THING
CROWDED HOUSE                                                |DON'T DREAM IT'S OVER
LINKIN PARK                                                  |CRAWLING
LUIS FONSI                                                   |DESPACITO
THE STRUTS                                                   |PRIMADONNA LIKE ME
VARIOUS ARTISTS                                              |TAKE ME HOME, COUNTRY ROADS
TAYLOR SWIFT                                                 |BLANK SPACE
RED HOT CHILI PEPPERS                                        |CAN'T STOP
EVANESCENCE                                                  |BRING ME TO LIFE
VARIOUS ARTISTS                                              |MOTHER SUPERIOR
AMERICA                                                      |SISTER GOLDEN HAIR
LINKIN PARK                                                  |NEW DIVIDE
THE LUMINEERS                                                |OPHELIA
SPANDAU BALLET                                               |TRUE
LED ZEPPELIN                                                 |RAMBLE ON (2012 REMASTER)
COHEED AND CAMBRIA                                           |THE SUFFERING
MAROON 5                                                     |PAYPHONE (EDIT)
RED HOT CHILI PEPPERS                                        |CALIFORNICATION
TWENTY ONE PILOTS                                            |RIDE
IMAGINE DRAGONS                                              |RADIOACTIVE
MACKLEMORE & RYAN LEWIS                                      |THRIFT SHOP (FEAT. WANZ)
TOMMY JAMES & THE SHONDELLS                                  |DRAGGIN' THE LINE
IMAGINE DRAGONS                                              |NATURAL
DAVID GUETTA                                                 |PLAY HARD (FEAT. NE-YO & AKON)
BON JOVI                                                     |LIVIN' ON A PRAYER
NELLY                                                        |DILEMMA
PANIC! AT THE DISCO                                          |KING OF THE CLOUDS
TOMMY JAMES & THE SHONDELLS                                  |I THINK WE'RE ALONE NOW (SINGLE)
CLEAN BANDIT                                                 |SYMPHONY (FEAT. ZARA LARSSON)
DAVID GUETTA                                                 |TITANIUM (FEAT. SIA)
THE FOUR SEASONS                                             |BIG GIRLS DON'T CRY
SHAWN MENDES                                                 |TREAT YOU BETTER
ALESSIA CARA                                                 |STAY
THE BEATLES                                                  |TWIST AND SHOUT (REMASTERED 2009)
AMERICA                                                      |A HORSE WITH NO NAME
THE BEACH BOYS                                               |GOOD VIBRATIONS (REMASTERED)
TAYLOR SWIFT                                                 |BLANK SPACE
KATY PERRY                                                   |ROAR
CHRIS BROWN                                                  |YEAH 3X
STEELY DAN                                                   |REELIN' IN THE YEARS
EARTH, WIND & FIRE                                           |LET'S GROOVE
THE FOUNDATIONS                                              |BABY, NOW THAT I FOUND YOU
NELLY                                                        |JUST A DREAM (MAIN)
KC & THE SUNSHINE BAND                                       |THAT'S THE WAY (I LIKE IT)
KENNY ROGERS                                                 |THE GAMBLER
ELECTRIC LIGHT ORCHESTRA                                     |TURN TO STONE
MAROON 5                                                     |MAKES ME WONDER
DJ SNAKE                                                     |LET ME LOVE YOU
EARTH, WIND & FIRE                                           |BOOGIE WONDERLAND
ELECTRIC LIGHT ORCHESTRA                                     |SWEET TALKIN' WOMAN
STEVIE NICKS                                                 |EDGE OF SEVENTEEN (2016 REMASTER)
JASON MRAZ                                                   |I'M YOURS
LIT                                                          |MY OWN WORST ENEMY
QUEEN                                                        |I WANT TO BREAK FREE (REMASTERED 2011)
JIMMY EAT WORLD                                              |THE MIDDLE
BRUNO MARS                                                   |THE LAZY SONG
FLEETWOOD MAC                                                |GO YOUR OWN WAY (2002 REMASTER)
BLINK-182                                                    |ALL THE SMALL THINGS
JOHN DENVER                                                  |TAKE ME HOME, COUNTRY ROADS
GUNS N' ROSES                                                |KNOCKIN' ON HEAVEN'S DOOR
GUNS N' ROSES                                                |SWEET CHILD O' MINE
RICHARD MARX                                                 |RIGHT HERE WAITING
CHRIS BROWN                                                  |YEAH 3X
NIRVANA                                                      |COME AS YOU ARE
VARIOUS ARTISTS                                              |HEY YOU
THE WHITE STRIPES                                            |SEVEN NATION ARMY
SUM 41                                                       |FAT LIP
5 SECONDS OF SUMMER                                          |YOUNGBLOOD
FLEETWOOD MAC                                                |DREAMS (2004 REMASTER)
THE BEATLES                                                  |LET IT BE (REMASTERED 2015)
BRANDY (YOU'RE A FINE GIRL) (AUDIO)                          |LOOKING GLASS
NEIL DIAMOND                                                 |SWEET CAROLINE
MAROON 5                                                     |SUNDAY MORNING
GUNS N' ROSES                                                |PARADISE CITY
NATHANIEL RATELIFF & THE NIGHT SWEATS                        |I NEED NEVER GET OLD
TWENTY ONE PILOTS                                            |HEATHENS
BRUNO MARS                                                   |JUST THE WAY YOU ARE
THE LONELY ISLAND                                            |MOTHERLOVER
HOOBASTANK                                                   |THE REASON
EMINEM                                                       |NOT AFRAID
THE DOORS                                                    |LIGHT MY FIRE
THE STRUTS                                                   |FIRE (PART 1)
MILKY CHANCE                                                 |STOLEN DANCE
VARIOUS ARTISTS                                              |NO WORLD FOR TOMORROW
THE ARCHIES                                                  |SUGAR, SUGAR
BLUR                                                         |SONG 2
ZAC BROWN BAND                                               |CHICKEN FRIED
GUNS N' ROSES                                                |SWEET CHILD O' MINE
THE STRUTS                                                   |BULLETPROOF BABY
SONNY & CHER                                                 |I GOT YOU BABE
5 SECONDS OF SUMMER                                          |YOUNGBLOOD
LYNYRD SKYNYRD                                               |SWEET HOME ALABAMA
MAROON 5                                                     |GIRLS LIKE YOU
MAROON 5                                                     |PAYPHONE
GORILLAZ                                                     |ON MELANCHOLY HILL
TOMMY JAMES & THE SHONDELLS                                  |CRIMSON AND CLOVER (LONG VERSION)
FOREIGNER                                                    |I WANT TO KNOW WHAT LOVE IS
EAGLES                                                       |HOTEL CALIFORNIA (LIVE ON MTV/1994)
COLDPLAY                                                     |SOMETHING JUST LIKE THIS
JOHN MELLENCAMP                                              |SMALL TOWN
AMERICA                                                      |VENTURA HIGHWAY
VARIOUS ARTISTS                                              |FEATHERS
THE LONELY ISLAND                                            |I'M ON A BOAT
THE STRUTS                                                   |ASHES (PART 2)
SUM 41                                                       |IN TOO DEEP
THE DARKNESS                                                 |I BELIEVE IN A THING CALLED LOVE
ZAC BROWN BAND                                               |TOES
RUPERT HOLMES                                                |ESCAPE (THE PINA COLADA SONG)
AKON                                                         |SMACK THAT
THE SCORE                                                    |STRONGER
THE MONKEES                                                  |I'M A BELIEVER (2006 REMASTER)
MAROON 5                                                     |ONE MORE NIGHT
BJÖRN SKIFS                                                  |HOOKED ON A FEELING
LOVELYTHEBAND                                                |BROKEN
IMAGINE DRAGONS                                              |BELIEVER
ELVIS PRESLEY                                                |CAN'T HELP FALLING IN LOVE
COHEED AND CAMBRIA                                           |THREE EVILS (EMBODIED IN LOVE AND SHADOW)
COLDPLAY                                                     |VIVA LA VIDA
BOBBY MCFERRIN                                               |DON'T WORRY BE HAPPY
GORILLAZ                                                     |FEEL GOOD INC
TAYLOR SWIFT                                                 |SHAKE IT OFF
COHEED AND CAMBRIA                                           |HERE TO MARS
THE STRUTS                                                   |BODY TALKS
THE LONELY ISLAND                                            |BOOMBOX
COHEED AND CAMBRIA                                           |HERE WE ARE JUGGERNAUT
DON MCLEAN                                                   |AMERICAN PIE
THE ROLLING STONES                                           |SYMPATHY FOR THE DEVIL
MAROON 5                                                     |THIS LOVE
THE CARS                                                     |GOOD TIMES ROLL
CHARLIE PUTH                                                 |ATTENTION
VARIOUS ARTISTS                                              |SIT NEXT TO ME
MAROON 5                                                     |SHE WILL BE LOVED
MAROON 5                                                     |LUCKY STRIKE
ONEREPUBLIC                                                  |COUNTING STARS
MAROON 5                                                     |ANIMALS
COHEED AND CAMBRIA                                           |THE DARK SENTENCER
MAROON 5                                                     |ANIMALS
VARIOUS ARTISTS                                              |I FEEL IT COMING
GRETA VAN FLEET                                              |SAFARI SONG
MAROON 5                                                     |MOVES LIKE JAGGER (STUDIO RECORDING FROM THE VOICE PERFORMANCE)
LYNYRD SKYNYRD                                               |FREE BIRD
AVENGED SEVENFOLD                                            |NIGHTMARE
IMAGINE DRAGONS                                              |WHATEVER IT TAKES
THE TURTLES                                                  |HAPPY TOGETHER
LOOKING GLASS                                                |BRANDY (YOU'RE A FINE GIRL)
THE BEATLES                                                  |HEY JUDE (REMASTERED 2015)
VARIOUS ARTISTS                                              |ANOTHER BRICK IN THE WALL (PART 2)
COHEED AND CAMBRIA                                           |UNHEAVENLY CREATURES
THE STRUTS                                                   |ONLY JUST A CALL AWAY
WELCOME HOME                                                 |COHEED AND CAMBRIA
A FAVOR HOUSE ATLANTIC (FROM LIVE AT THE STARLAND BALLROOM)  |COHEED AND CAMBRIA
DARIUS RUCKER                                                |WAGON WHEEL
IMAGINE DRAGONS                                              |RADIOACTIVE
5 SECONDS OF SUMMER                                          |YOUNGBLOOD
FOSTER THE PEOPLE                                            |DON'T STOP (COLOR ON THE WALLS)
JIMI HENDRIX                                                 |ALL ALONG THE WATCHTOWER
THE STRUTS                                                   |FIRE (PART 1)
TENACIOUS D                                                  |TRIBUTE
PITBULL                                                      |GIVE ME EVERYTHING
USHER                                                        |OMG
PANIC! AT THE DISCO                                          |HIGH HOPES
TEARS FOR FEARS                                              |SHOUT (ALTERNATIVE VERSION)
THE BLACK KEYS                                               |HOWLIN' FOR YOU
TEARS FOR FEARS                                              |HEAD OVER HEELS
DEF LEPPARD                                                  |POUR SOME SUGAR ON ME
THE BEATLES                                                  |HERE COMES THE SUN (REMASTERED 2009)
THE BUGGLES                                                  |VIDEO KILLED THE RADIO STAR
MAROON 5                                                     |SUGAR
STEPPENWOLF                                                  |BORN TO BE WILD
LED ZEPPELIN                                                 |STAIRWAY TO HEAVEN (2012 REMASTER)
SILVER                                                       |WHAM BAM SHANG-A-LANG
THE BLACK KEYS                                               |GOLD ON THE CEILING
THE DOORS                                                    |HELLO, I LOVE YOU (REMASTERED)
USHER                                                        |DJ GOT US FALLIN' IN LOVE
FOSTER THE PEOPLE                                            |PUMPED UP KICKS
ALESSIA CARA                                                 |HOW FAR I'LL GO (ALESSIA CARA VERSION)
GRETA VAN FLEET                                              |MEET ON THE LEDGE
GRETA VAN FLEET                                              |ANTHEM
VARIOUS ARTISTS                                              |DAYDREAM BELIEVER (45 VERSION)
THE LONELY ISLAND                                            |DICK IN A BOX
ELECTRIC LIGHT ORCHESTRA                                     |LIVIN' THING
KILLSWITCH ENGAGE                                            |MY CURSE
THE LONELY ISLAND                                            |FINEST GIRL (BIN LADEN SONG)
VARIOUS ARTISTS                                              |STARBOY
SUPERTRAMP                                                   |GOODBYE STRANGER (2010 REMASTERED)
COHEED AND CAMBRIA                                           |THE DARK SENTENCER
MARK RONSON                                                  |UPTOWN FUNK
SWEET                                                        |FOX ON THE RUN
RAM JAM                                                      |BLACK BETTY
BLUE ÖYSTER CULT                                             |(DON'T FEAR) THE REAPER
TWISTED SISTER                                               |WE'RE NOT GONNA TAKE IT
DAFT PUNK                                                    |AROUND THE WORLD
JAY SEAN                                                     |DOWN
MUMFORD & SONS                                               |I WILL WAIT
KING HARVEST                                                 |DANCING IN THE MOONLIGHT
LED ZEPPELIN                                                 |GOING TO CALIFORNIA (REMASTER)
NATHANIEL RATELIFF & THE NIGHT SWEATS                        |S.O.B.
QUEEN                                                        |BOHEMIAN RHAPSODY (REMASTERED 2011)
DAFT PUNK                                                    |HARDER, BETTER, FASTER, STRONGER
TOM PETTY                                                    |I WON'T BACK DOWN
JUDY KUHN                                                    |COLORS OF THE WIND (FROM "POCAHONTAS" / SOUNDTRACK VERSION)
THE HUMAN BEINZ                                              |NOBODY BUT ME
THE LONELY ISLAND                                            |LIKE A BOSS
SAM & DAVE                                                   |HOLD ON, I'M COMIN'
HALL & OATES                                                 |YOU MAKE MY DREAMS (REMASTERED)
THE JACKSON 5                                                |I WANT YOU BACK
SIMPLE MINDS                                                 |DON'T YOU (FORGET ABOUT ME)
SHAWN MENDES                                                 |LOST IN JAPAN (REMIX)
MAROON 5                                                     |GIRLS LIKE YOU
THE FOUR SEASONS                                             |SHERRY
WEEN                                                         |OCEAN MAN
COHEED AND CAMBRIA                                           |YOU GOT SPIRIT, KID
GRETA VAN FLEET                                              |BLACK SMOKE RISING
NORMAN GREENBAUM                                             |SPIRIT IN THE SKY
DRAGONFORCE                                                  |THROUGH THE FIRE AND FLAMES
JOHN DENVER                                                  |TAKE ME HOME, COUNTRY ROADS (ORIGINAL VERSION)
BRUNO MARS                                                   |TREASURE
GRETA VAN FLEET                                              |FLOWER POWER
QUEEN                                                        |KILLER QUEEN (REMASTERED 2011)
THE BLACK KEYS                                               |LONELY BOY
COHEED AND CAMBRIA                                           |BLOOD RED SUMMER
JOURNEY                                                      |SEPARATE WAYS (WORLDS APART)
AEROSMITH                                                    |DREAM ON
LED ZEPPELIN                                                 |KASHMIR (2007 REMASTER)
LOUIS ARMSTRONG                                              |WHAT A WONDERFUL WORLD
LED ZEPPELIN                                                 |RAMBLE ON (REMASTER)
BJÖRN SKIFS                                                  |HOOKED ON A FEELING
MUMFORD & SONS                                               |THE CAVE
KANSAS                                                       |CARRY ON WAYWARD SON
VARIOUS ARTISTS                                              |STUBBORN LOVE
BACKSTREET BOYS                                              |I WANT IT THAT WAY
AJR                                                          |SOBER UP
ARCTIC MONKEYS                                               |DO I WANNA KNOW?
LMFAO                                                        |PARTY ROCK ANTHEM (RADIO EDIT)
THE STRUTS                                                   |KISS THIS
A FLOCK OF SEAGULLS                                          |I RAN (SO FAR AWAY)
PORTUGAL. THE MAN                                            |FEEL IT STILL
THE LONELY ISLAND                                            |I JUST HAD SEX (EXPLICIT)
TOTO                                                         |AFRICA
THE STRUTS                                                   |BULLETPROOF BABY
COHEED AND CAMBRIA                                           |OLD FLAMES
THE LONELY ISLAND                                            |JIZZ IN MY PANTS (EXPLICIT)
VARIOUS ARTISTS                                              |THE RUNNING FREE
COHEED AND CAMBRIA                                           |WELCOME HOME
SAINT MOTEL                                                  |COLD COLD MAN
REDBONE                                                      |COME AND GET YOUR LOVE
TOM PETTY                                                    |AMERICAN GIRL
JET                                                          |ARE YOU GONNA BE MY GIRL
RASCAL FLATTS                                                |LIFE IS A HIGHWAY
GRETA VAN FLEET                                              |ANTHEM
THE DRIFTERS                                                 |UNDER THE BOARDWALK
PEGGY MARCH                                                  |I WILL FOLLOW HIM (CHARIOT)
TOTO                                                         |HOLD THE LINE
BRUNO MARS                                                   |THAT'S WHAT I LIKE
BILLY JOEL                                                   |UPTOWN GIRL
LED ZEPPELIN                                                 |BLACK DOG (2007 REMASTER)
CHRIS BROWN                                                  |FOREVER
COHEED AND CAMBRIA                                           |OLD FLAMES
KENNY LOGGINS                                                |FOOTLOOSE
VARIOUS ARTISTS                                              |I2I
JASON WEAVER                                                 |HAKUNA MATATA (FROM "THE LION KING"/SOUNDTRACK)
GLEN CAMPBELL                                                |SOUTHERN NIGHTS
RICK ASTLEY                                                  |NEVER GONNA GIVE YOU UP
COHEED AND CAMBRIA                                           |TEN SPEED (OF GOD'S BLOOD & BURIAL)
LED ZEPPELIN                                                 |IMMIGRANT SONG
FLEETWOOD MAC                                                |THE CHAIN (2002 REMASTER)
SWEET                                                        |BALLROOM BLITZ
NAKED EYES                                                   |ALWAYS SOMETHING THERE TO REMIND ME
MEN AT WORK                                                  |DOWN UNDER
COHEED AND CAMBRIA                                           |IN KEEPING SECRETS OF SILENT EARTH: 3
JOHN MELLENCAMP                                              |JACK & DIANE
DION                                                         |RUNAROUND SUE
MIIKE SNOW                                                   |GENGHIS KHAN
EURYTHMICS                                                   |SWEET DREAMS (ARE MADE OF THIS)
FOREIGNER                                                    |FEELS LIKE THE FIRST TIME
COHEED AND CAMBRIA                                           |A FAVOR HOUSE ATLANTIC
HALL & OATES                                                 |MANEATER (REMASTERED)
SHAWN MENDES                                                 |THERE'S NOTHING HOLDIN' ME BACK
JAY AND THE AMERICANS                                        |COME A LITTLE BIT CLOSER
BOBBY DARIN                                                  |DREAM LOVER
MOVING PICTURES                                              |NEVER
FOREIGNER                                                    |JUKE BOX HERO
THE STRUTS                                                   |PRIMADONNA LIKE ME
A-HA                                                         |TAKE ON ME
JAY AND THE AMERICANS                                        |THIS MAGIC MOMENT (EDIT)
VARIOUS ARTISTS                                              |THE RUBBERBAND MAN
TAYLOR SWIFT                                                 |... READY FOR IT?
THE STRUTS                                                   |PUT YOUR MONEY ON ME
TAYLOR SWIFT                                                 |LOOK WHAT YOU MADE ME DO
IMAGINE DRAGONS                                              |NATURAL
VARIOUS ARTISTS                                              |HO HEY
SAINT MOTEL                                                  |MY TYPE
THE LONELY ISLAND                                            |JACK SPARROW
IMAGINE DRAGONS                                              |ZERO (FROM THE ORIGINAL MOTION PICTURE "RALPH BREAKS THE INTERNET")
FOREIGNER                                                    |URGENT
