T-PAIN                                                       |I'M SPRUNG
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH) (TIESTO REMIX)
COLDPLAY VS. SWEDISH HOUSE MAFIA                             |EVERY TEARDROP IS A WATERFALL
BINGO PLAYERS                                                |GET UP (RATTLE)
FLORENCE + THE MACHINE / SWEDISH HOUSE MAFIA                 |YOU GOT THE LOVE (MARK KNIGHT REMIX) / ONE
HIPPIE SABOTAGE                                              |YOUR SOUL
BASSNECTAR                                                   |BOOMERANG
NERO                                                         |NEW LIFE
NERO                                                         |ME AND YOU (DIRTYPHONICS REMIX)
NERO                                                         |FUGUE STATE
THE DOORS & SKRILLEX                                         |BREAKN' A SWEAT (ZEDD REMIX)
SKRILLEX                                                     |SUMMIT
SKRILLEX                                                     |RUFFNECK (FULL FLEX)
SKRILLEX                                                     |RAGGA BOMB (SKRILLEX & ZOMBOY REMIX)
SKRILLEX                                                     |RIGHT IN
BOB MARLEY & THE WAILERS                                     |BUFFALO SOLDIER (EDIT VERSION)
STRAIGHT NO CHASER                                           |I'M YOURS / SOMEWHERE OVER THE RAINBOW
BOB MARLEY                                                   |ONE LOVE / PEOPLE GET READY
BOB MARLEY                                                   |GET UP, STAND UP
BOB MARLEY                                                   |STIR IT UP
BOB MARLEY                                                   |NO WOMAN, NO CRY (LIVE AT THE LYCEUM, LONDON, JULY 17, 1975)
CULTURA PROFÉTICA                                            |NO WOMAN NO CRY
INNER CIRCLE                                                 |SWEAT (A LA LA LA LA LONG)
ZIGGY MARLEY                                                 |THREE LITTLE BIRDS (LIVE)
BOB MARLEY                                                   |SATISFY MY SOUL
DEORRO                                                       |YEE
FOREIGN BEGGARS                                              |STILL GETTING IT
SKRILLEX & DAMIAN "JR. GONG" MARLEY                          |MAKE IT BUN DEM
KNIFE PARTY                                                  |POWER GLOVE
KNIFE PARTY                                                  |FIRE HIVE
SCHOOLBOY                                                    |ZOMBIES ATE MY NEIGHBOURS
KANYE WEST & JAY-Z                                           |NIGGAS IN PARIS
J. COLE                                                      |POWER TRIP
LIL WAYNE                                                    |MR. CARTER
J. COLE                                                      |DEJA VU
J. COLE                                                      |NOBODY'S PERFECT
J. COLE                                                      |NO ROLE MODELZ
J. COLE                                                      |WET DREAMZ
J. COLE                                                      |G.O.M.D.
DRAKE                                                        |BEST I EVER HAD
DRAKE                                                        |SHOW ME A GOOD TIME
J. COLE                                                      |RICH NIGGAZ
JIMMY PAGE & ROBERT PLANT                                    |THE BATTLE OF EVERMORE (LIVE)
LED ZEPPELIN                                                 |THE WANTON SONG
LED ZEPPELIN                                                 |HOUSES OF THE HOLY
LED ZEPPELIN                                                 |IN THE LIGHT
FORMAL ONE & DOUBLEV                                         |TORTUGA (RADIO EDIT)
ALINA PUSCAU                                                 |WHEN YOU LEAVE (NUMA NUMA) (BASSHUNTER RADIO MIX)
O-ZONE                                                       |MA YA HI (DRAGOSTEA DIN TEI) (ORIGINAL ROMANIAN VERSION)
BASSHUNTER                                                   |SATURDAY
O-ZONE                                                       |MA YA HI (DRAGOSTEA DIN TEI) (DJ ROSS EXTENDED MIX)
BASSHUNTER                                                   |I CAN WALK ON WATER
BASSHUNTER                                                   |ANGEL IN THE NIGHT (RADIO EDIT)
O-ZONE                                                       |MA YA HI (DRAGOSTEA DIN TEI) (FEAT. LUCAS PRATA) (VALENTIN CLUB MIX)
ITALO BROTHERS                                               |STAMP ON THE GROUND
BASSHUNTER                                                   |SVERIGE
CASCADA                                                      |MIRACLE
BASSNECTAR                                                   |VOODOO
BASSNECTAR                                                   |HERE WE GO
BUKU                                                         |FRONT TO BACK
BASSNECTAR                                                   |ENCORE
BASSNECTAR                                                   |UPSIDE DOWN
BASSNECTAR & THE UPBEATS                                     |GNAR
BASSNECTAR & JANTSEN                                         |BLAST OFF
WIZ KHALIFA                                                  |HOPES & DREAMS
KID CUDI                                                     |MAN ON THE MOON (THE ANTHEM)
WIZ KHALIFA                                                  |THE BLUFF
WIZ KHALIFA                                                  |WEED FARM
WIZ KHALIFA                                                  |LETTERMAN
WIZ KHALIFA                                                  |SO HIGH (FEAT. GHOST LOFT)
WIZ KHALIFA                                                  |WAKE UP
WIZ KHALIFA                                                  |HUSTLIN
WIZ KHALIFA                                                  |GANGBANG
WIZ KHALIFA                                                  |ON MY LEVEL
WIZ KHALIFA                                                  |WHEN I'M GONE
PANCE PARTY                                                  |FUN FACTORY
WOLFGANG GARTNER                                             |FLEXX
LAZY JAY                                                     |FLOAT MY BOAT - EXTENDED MIX
MORD FUSTANG                                                 |MILKY WAY
DABRUCK & KLEIN AND ALBIN MYERS                              |LONNEBERGA
R3HAB & FERRUCCIO SALVO                                      |PUMP THE PARTY
DAVID GARCIA & DAVE AUDE                                     |DANCIN' CIRCLES (INPHINITY & KALENDR DUB)
SIDNEY SAMSON & STEVE AOKI                                   |WAKE UP CALL (PEACETREATY REMIX)
BASSJACKERS                                                  |CRACKIN (MARTIN GARRIX EDIT)
BASSJACKERS                                                  |LIKE THAT (ORIGINAL MIX)
R3HAB & VINAI                                                |HOW WE PARTY
NICKY ROMERO                                                 |SYMPHONICA (BARE REMIX)
THE BLOODY BEETROOTS                                         |WARP 1977
BRILLZ & ETC!ETC!                                            |CALLISTO
KILL THE NOISE & DATSIK                                      |LIGHTSPEED
BENNY BENASSI & THE BIZ                                      |SATISFACTION (RL GRIME REMIX)
AFROJACK & R3HAB                                             |PRUTATAAA
MYBACK                                                       |TRIGGER
KNIFE PARTY                                                  |DESTROY THEM WITH LAZERS
AUTOEROTIQUE                                                 |TURN UP THE VOLUME
BENNY BENASSI                                                |AUTOMATIC B
CHUCKIE & SILVIO ECOMO                                       |MOOMBAH (SIDNEY SAMSON REMIX)
JOACHIM GARRAUD                                              |WE ARE BACK (ROCKSTARZ REMIX)
BENNY BENASSI & THE BIZ                                      |SATISFACTION (ISAK ORIGINAL EXTENDED MIX)
CHUCKIE & SILVIO ECOMO                                       |MOOMBAH (AFROJACK REMIX)
DJ TIGA                                                      |YOU GONNA WANT ME (HEY TODAY! REMIX)
W&W                                                          |RAVE AFTER RAVE
FEED ME                                                      |GRAND THEFT ECSTASY
DJ ALEX BLEND                                                |SHOCKIN'
HYPER CRUSH                                                  |RAGE
DJ ALEX BLEND                                                |WE CAN CHANGE THE WORLD
DJ ALEX BLEND                                                |XXX
SHOWTEK                                                      |THE F-TRACK
WOLFGANG GARTNER                                             |SHRUNKEN HEADS
VENACCIO, DAIGON                                             |OUT OF NOWHERE
ROBERT MILES                                                 |CHILDREN (DREAM VERSION)
MARSHMELLO                                                   |MOVING ON
JOHN MELLENCAMP                                              |LONELY OL' NIGHT
YOUNG THE GIANT                                              |MY BODY
SEETHER                                                      |REMEDY
BREAKING BENJAMIN                                            |INTO THE NOTHING
LINKIN PARK                                                  |LYING FROM YOU
MITIS & MAHI                                                 |BLU
EMINEM                                                       |MOCKINGBIRD
EMINEM                                                       |THE WAY I AM
EMINEM                                                       |'TILL I COLLAPSE
LAIDBACK LUKE & EXAMPLE                                      |NATURAL DISASTER
EXAMPLE                                                      |KIDS AGAIN (DIMENSION REMIX)
EXAMPLE                                                      |TIME MACHINE
FYTCH, CAPTAIN CRUNCH & CARMEN FORBES                        |RAINDROPS (TOMBA REMIX)
EXAMPLE                                                      |PLAYING IN THE SHADOWS
AC/DC                                                        |IF YOU WANT BLOOD
VAN HALEN                                                    |RUNNIN' WITH THE DEVIL
METALLICA                                                    |WHEREVER I MAY ROAM
LED ZEPPELIN                                                 |I CAN'T QUIT YOU BABY
DAVID GILMOUR                                                |WISH YOU WERE HERE (LIVE)
GRATEFUL DEAD                                                |GOIN' DOWN THE ROAD FEELING BAD (BICKERSHAW FESTIVAL, WIGAN, ENGLAND 5/7/1972)
GREGG ALLMAN                                                 |MIDNIGHT RIDER
JIMI HENDRIX                                                 |VOODOO CHILE
STATUS QUO                                                   |PICTURES OF MATCHSTICK MEN
JIMI HENDRIX                                                 |VOODOO CHILD (SLIGHT RETURN)
THE KINKS                                                    |TILL THE END OF THE DAY
JIMI HENDRIX                                                 |HEAR MY TRAIN A COMIN'
JIMI HENDRIX                                                 |ARE YOU EXPERIENCED?
THE BEATLES                                                  |I WANT YOU (SHE'S SO HEAVY)
THE ELECTRIC PRUNES                                          |I HAD TOO MUCH TO DREAM (LAST NIGHT)
THE YARDBIRDS                                                |OVER, UNDER, SIDEWAYS, DOWN
LED ZEPPELIN                                                 |HEY, HEY, WHAT CAN I DO
THE ROLLING STONES                                           |19TH NERVOUS BREAKDOWN
THE DOORS                                                    |RIDERS ON THE STORM
JIMI HENDRIX                                                 |BOLD AS LOVE
CREAM                                                        |STRANGE BREW
THE YARDBIRDS                                                |HEART FULL OF SOUL
THE DOORS                                                    |PEOPLE ARE STRANGE
THE COUNT FIVE                                               |PSYCHOTIC REACTION
CREEDENCE CLEARWATER REVIVAL                                 |GREEN RIVER
THE SMOKIN' JOE KUBEK BAND                                   |WALK WITH YOU
T. REX (TYRANNOSAURUS REX)                                   |GET IT ON  (BBC RECORDING)
SANTANA                                                      |BLACK MAGIC WOMAN/GYPSY QUEEN
DEEP PURPLE                                                  |SMOKE ON THE WATER
ONEREPUBLIC                                                  |APOLOGIZE (TIMBALAND RADIO REMIX)
THE FRAY                                                     |NEVER SAY NEVER
THE SCRIPT                                                   |THE MAN WHO CAN'T BE MOVED
JENNIFER WARNES                                              |(I'VE HAD) THE TIME OF MY LIFE
JOAN JETT                                                    |I LOVE ROCK 'N' ROLL
P!NK                                                         |TRY
ADELE                                                        |WATER UNDER THE BRIDGE
LORDE                                                        |ROYALS
CHARLIE PUTH                                                 |ONE CALL AWAY
LUKAS GRAHAM                                                 |7 YEARS
VERTICAL HORIZON                                             |EVERYTHING YOU WANT
MATCHBOX TWENTY                                              |PUSH
THIRD EYE BLIND                                              |JUMPER
OTIS REDDING                                                 |STAND BY ME
MARVIN GAYE                                                  |I HEARD IT THROUGH THE GRAPEVINE
T. REX (TYRANNOSAURUS REX)                                   |GET IT ON
MANFRED MANN                                                 |DOO WAH DIDDY
MARVIN GAYE & TAMMI TERRELL                                  |AIN'T NO MOUNTAIN HIGH ENOUGH
THURSTON HARRIS & THE SHARPS                                 |LITTLE BITTY PRETTY ONE
RAY CHARLES                                                  |HIT THE ROAD JACK
THE CHORDS (1950S)                                           |SH-BOOM (LIFE COULD BE A DREAM)
JAMES ARTHUR                                                 |SAY YOU WON'T LET GO
TAYLOR SWIFT                                                 |YOU NEED TO CALM DOWN
DEAN LEWIS                                                   |BE ALRIGHT
JUSTIN TIMBERLAKE                                            |CAN'T STOP THE FEELING! (ORIGINAL SONG FROM DREAMWORKS ANIMATION'S "TROLLS")
P!NK                                                         |WHAT ABOUT US
ANDY GRAMMER                                                 |HONEY, I'M GOOD.
BRUNO MARS                                                   |WHEN I WAS YOUR MAN
ELLIE GOULDING                                               |ON MY MIND
LP                                                           |LOST ON YOU
FREDDIE MERCURY                                              |TIME
THE SMITHS                                                   |I KNOW IT'S OVER
ARCTIC MONKEYS                                               |WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH?
CAGE THE ELEPHANT                                            |CIGARETTE DAYDREAMS
FOSTER THE PEOPLE                                            |SIT NEXT TO ME
THE KILLERS                                                  |READ MY MIND
THE WHITE STRIPES                                            |WE'RE GOING TO BE FRIENDS
THE AVETT BROTHERS                                           |HEAD FULL OF DOUBT, ROAD FULL OF PROMISE
ONEREPUBLIC                                                  |APOLOGIZE
JOHN MAYER                                                   |SAY
CREED                                                        |WITH ARMS WIDE OPEN
MUMFORD & SONS                                               |WHITE BLANK PAGE
3 DOORS DOWN                                                 |LET ME GO
LIFEHOUSE                                                    |BROKEN
VANCE JOY                                                    |MESS IS MINE
JAY-Z                                                        |YOUNG FOREVER
THREE DAYS GRACE                                             |JUST LIKE YOU
LUKAS GRAHAM                                                 |MAMA SAID
BRAILLE & ETHIC                                              |THE UNIMPORTANT ONES
DR. DRE                                                      |NUTHIN' BUT A "G" THANG
DARYL HALL & JOHN OATES                                      |SARA SMILE
LUNIZ                                                        |I GOT 5 ON IT
RUN-D.M.C.                                                   |IT'S TRICKY
ICE CUBE                                                     |CHECK YO SELF
OUTKAST                                                      |ROSES
SNOOP DOGG                                                   |GIN & JUICE
DR. DRE                                                      |THE NEXT EPISODE
LIL WAYNE                                                    |WE BE STEADY MOBBIN'
LIL JON                                                      |SHOTS
DJ KHALED                                                    |I'M ON ONE
LIL WAYNE                                                    |STEADY MOBBIN' (FEAT. GUCCI MANE)
LIL JON & THE EAST SIDE BOYZ                                 |GET LOW
BOYZ N DA HOOD                                               |DEM BOYZ
MIGOS                                                        |BAD AND BOUJEE (FEAT. LIL UZI VERT)
LIL WAYNE                                                    |BRING IT BACK
LIL WAYNE                                                    |I'M ME
LIL WAYNE & PLAYA CIRCLE                                     |DUFFLE BAG BOY
T.I.                                                         |DEAD AND GONE
MYSTIKAL                                                     |DANGER (BEEN SO LONG)
YOUNG JEEZY                                                  |PUT ON
OUTKAST                                                      |PLAYER'S BALL (ORIGINAL)
T.I.                                                         |BIG THINGS POPPIN' (DO IT)
SCARFACE                                                     |MIND PLAYIN' TRICKS ON ME 94
YOUNG JEEZY                                                  |LOSE MY MIND
JUVENILE                                                     |SET IT OFF
LIL WAYNE                                                    |GOT MONEY
JUVENILE                                                     |SLOW MOTION
BIRDMAN                                                      |MONEY TO BLOW
FLUX PAVILION                                                |DAYDREAMER (RADIO EDIT)
DAFT PUNK                                                    |TOO LONG/STEAM MACHINE (LIVE)
DAFT PUNK                                                    |THE GRID (REMIXED BY THE CRYSTAL METHOD)
DEADMAU5                                                     |THE 16TH HOUR
DEADMAU5 & WOLFGANG GARTNER                                  |ANIMAL RIGHTS
DAFT PUNK                                                    |ADAGIO FOR TRON (REMIXED BY TEDDYBEARS)
NERO                                                         |IN THE WAY
NERO                                                         |ME AND YOU
SKRILLEX                                                     |RUFFNECK (FLEX)
DAFT PUNK                                                    |ONE MORE TIME/AERODYNAMIC (LIVE)
NERO                                                         |REACHING OUT
NERO                                                         |GUILT
DAFT PUNK                                                    |DA FUNK/DAFTENDIREKT (LIVE)
DARREN TATE & JONO GRANT                                     |LET THE LIGHT SHINE IN
KAYCEE                                                       |ESCAPE 2000 (NEW CLUB MIX)
PETER STEELE                                                 |GULL (EXTENDED MIX)
ABOVE & BEYOND                                               |CAN'T SLEEP (RADIO EDIT)
PAUL OAKENFOLD                                               |TOKYO (ORIGINAL MIX EDIT)
ATB                                                          |ECSTASY
PLASTIC BOY                                                  |SILVER BATH
ADAM K & SOHA                                                |TWILIGHT
ARMIN VAN BUUREN                                             |IN AND OUT OF LOVE (FEAT. SHARON DEN ADEL) (RADIO EDIT)
DEADMAU5                                                     |CTHULHU SLEEPS
BASSHUNTER                                                   |VI SITTER I VENTRILO OCH SPELAR DOTA
BASSHUNTER                                                   |PROFESSIONAL PARTY PEOPLE
BENASSI BROS.                                                |I LOVE MY SEX
ZEDD & ALESSIA CARA                                          |STAY
STARLEY                                                      |CALL ON ME (RYAN RIBACK REMIX)
CALVIN HARRIS                                                |FEELS (FEAT. PHARRELL WILLIAMS, KATY PERRY & BIG SEAN)
MR. PROBZ                                                    |WAVES (ROBIN SCHULZ RADIO EDIT)
ELLIE GOULDING                                               |SOMETHING IN THE WAY YOU MOVE
AVICII                                                       |WITHOUT YOU (FEAT. SANDRO CAVAZZA)
MARTIN GARRIX & TROYE SIVAN                                  |THERE FOR YOU
HALSEY                                                       |NOW OR NEVER (R3HAB REMIX)
KYGO & ELLIE GOULDING                                        |FIRST TIME
CHEAT CODES                                                  |NO PROMISES (FEAT. DEMI LOVATO)
MARTIN GARRIX & BEBE REXHA                                   |IN THE NAME OF LOVE
SELENA GOMEZ & MARSHMELLO                                    |WOLVES
JONAS BLUE                                                   |MAMA (FEAT. WILLIAM SINGE)
KYGO & SELENA GOMEZ                                          |IT AIN'T ME
GRYFFIN & ILLENIUM                                           |FEEL GOOD (FEAT. DAYA)
KATY PERRY                                                   |BON APPÉTIT (FEAT. MIGOS) (3LAU REMIX)
YELLOW CLAW                                                  |TILL IT HURTS (FEAT. AYDEN)
DAVID GUETTA & AFROJACK                                      |ANOTHER LIFE (FEAT. ESTER DEAN) (RADIO MIX)
AUDIEN                                                       |CRAZY LOVE (FEAT. DEB’S DAUGHTER)
JAX JONES                                                    |YOU DON'T KNOW ME (FEAT. RAYE)
K.C. & THE SUNSHINE BAND                                     |THAT'S THE WAY I LIKE IT (SINGLE VERSION)
EARTH, WIND & FIRE                                           |MEGAMIX (RADIO EDIT)
K.C. & THE SUNSHINE BAND                                     |THAT'S THE WAY I LIKE IT
STRFKR                                                       |RAWNALD GREGORY ERICKSON THE SECOND
ADAM K & SOHA                                                |NEED TO FEEL LOVED
FLO RIDA                                                     |GDFR (FEAT. SAGE THE GEMINI & LOOKAS) (K. THEORY REMIX)
DAVID GUETTA                                                 |WHERE THEM GIRLS AT (FEAT. NICKI MINAJ & FLO RIDA
DAVID GUETTA & USHER                                         |WITHOUT YOU
ENRIQUE IGLESIAS                                             |TONIGHT (I'M LOVIN' YOU)
MAROON 5 & CHRISTINA AGUILERA                                |MOVES LIKE JAGGER
ONEREPUBLIC                                                  |FEEL AGAIN
KESHA                                                        |DIE YOUNG
LADY GAGA                                                    |POKER FACE
RIHANNA                                                      |S&M
KESHA                                                        |WE R WHO WE R
BENNY BENASSI                                                |CLOSE TO ME (FEAT. GARY GO)
DEADMAU5                                                     |ANIMAL RIGHTS
DJ MISS T & YAKEL                                            |SKYWALKER (DJ MIX)
ONEREPUBLIC & ALESSO                                         |IF I LOSE MYSELF (ALESSO VS ONEREPUBLIC)
DAVID GUETTA & CHRIS WILLIS                                  |TOMORROW CAN WAIT (TOCADISCO EVIL MIX)
SEBASTIAN INGROSSO, ALESSO & RYAN TEDDER                     |CALLING (LOSE MY MIND) (EXTENDED CLUB MIX)
SEBASTIAN INGROSSO & ALESSO                                  |CALLING (LOSE MY MIND) (RADIO EDIT)
ALEX KENJI, STARKILLERS & NADIA ALI                          |PRESSURE (ALESSO REMIX)
AFROJACK & SHERMANOLOGY                                      |CAN'T STOP ME (RADIO EDIT)
KYLE DIXON & MICHAEL STEIN                                   |KIDS TWO
RETROVISION                                                  |HEROES
DJ SAMMY & YANOU                                             |HEAVEN
NICKI MINAJ                                                  |TURN ME ON
ENUR                                                         |CALABRIA
HAVANA BROWN                                                 |WE RUN THE NIGHT
SEPTEMBER                                                    |CRY FOR YOU (RADIO MIX)
D.H.T.                                                       |LISTEN TO YOUR HEART
THE BIZ                                                      |SATISFACTION (GREECE DUB INSTRUMENTAL MIX)
DAVID GUETTA                                                 |SEXY CHICK
CASCADA                                                      |EVERYTIME WE TOUCH (VERANO EDIT)
TAIO CRUZ                                                    |BREAK YOUR HEART (FEAT. LUDACRIS)
SKRILLEX                                                     |BANGARANG
SKRILLEX                                                     |FIRST OF THE YEAR (EQUINOX)
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA)
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH)
ADVENTURE CLUB                                               |NEED YOUR HEART
SKRILLEX                                                     |KYOTO
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH) (DIPLO + GRANDTHEFT REMIX)
LA ROUX                                                      |IN FOR THE KILL (SKRILLEX REMIX)
TOVE LO                                                      |HABITS (STAY HIGH) (HIPPIE SABOTAGE REMIX)
FLUX PAVILION                                                |I STILL CAN'T STOP
THE CURE                                                     |LOVE SONG (EXTENDED MIX)
SOFT CELL                                                    |TAINTED LOVE / WHERE DID OUR LOVE GO (EXTENDED VERSION)
TAKING BACK SUNDAY                                           |TIMBERWOLVES AT NEW JERSEY
STATE CHAMPS                                                 |SECRETS
A DAY TO REMEMBER                                            |WE GOT THIS
YELLOWCARD                                                   |ONLY ONE
YELLOWCARD                                                   |OCEAN AVENUE
HAWTHORNE HEIGHTS                                            |OHIO IS FOR LOVERS
BLINK-182                                                    |MAN OVERBOARD
BLINK-182                                                    |GHOST ON THE DANCE FLOOR
SUGARCULT                                                    |BOUNCING OFF THE WALLS
PARAMORE                                                     |THAT'S WHAT YOU GET
BLINK-182                                                    |GOING AWAY TO COLLEGE
MXPX                                                         |PARTY, MY HOUSE, BE THERE
PANIC! AT THE DISCO                                          |I WRITE SINS NOT TRAGEDIES
LESS THAN JAKE                                               |SURRENDER
BOYS LIKE GIRLS                                              |THE GREAT ESCAPE
FALL OUT BOY                                                 |THIS AIN'T A SCENE, IT'S AN ARMS RACE
SR-71                                                        |RIGHT NOW
NEW FOUND GLORY                                              |VICIOUS LOVE
NEW FOUND GLORY                                              |THE KING OF WISHFUL THINKING
STORY OF THE YEAR                                            |UNTIL THE DAY I DIE
DNA (UK)                                                     |TOM'S DINER
RED HOT CHILI PEPPERS                                        |UNDER THE BRIDGE
FAMILY OF THE YEAR                                           |HERO
NATHANIEL RATELIFF & THE NIGHT SWEATS                        |HEY MAMA
JOSEPH                                                       |WHITE FLAG
TRAIN                                                        |MEET VIRGINIA
PORTUGAL. THE MAN                                            |LIVE IN THE MOMENT
X AMBASSADORS                                                |RENEGADES
RED HOT CHILI PEPPERS                                        |OTHERSIDE
BECK                                                         |LOSER
LIVE                                                         |LIGHTNING CRASHES
THE CURE                                                     |JUST LIKE HEAVEN
FITZ & THE TANTRUMS                                          |OUT OF MY LEAGUE
COLD WAR KIDS                                                |SO TIED UP (MOREBISHOP) (FEAT. BISHOP BRIGGS)
THE POLICE                                                   |DON'T STAND SO CLOSE TO ME
MANCHESTER ORCHESTRA                                         |THE GOLD
FLORENCE + THE MACHINE                                       |SHIP TO WRECK
CAGE THE ELEPHANT                                            |WHOLE WIDE WORLD (UNPEELED)
BILLY RAFFOUL                                                |DRIVER
ALT-J                                                        |IN COLD BLOOD
DEATH CAB FOR CUTIE                                          |BLACK SUN
COLDPLAY                                                     |ADVENTURE OF A LIFETIME
GENERATION X                                                 |DANCING WITH MYSELF
WHEN IN ROME                                                 |THE PROMISE
MEN AT WORK                                                  |WHO CAN IT BE NOW?
THE ROMANTICS                                                |TALKING IN YOUR SLEEP
FOO FIGHTERS                                                 |ROPE
MUSE                                                         |THOUGHT CONTAGION
TWENTY ONE PILOTS                                            |CHLORINE
MARSHMELLO & BASTILLE                                        |HAPPIER
BECK                                                         |UP ALL NIGHT
FOO FIGHTERS                                                 |THE SKY IS A NEIGHBORHOOD
VANCE JOY                                                    |LAY IT ON ME
ALICE MERTON                                                 |NO ROOTS
DIRTY HEADS                                                  |VACATION
X AMBASSADORS                                                |AHEAD OF MYSELF
SLEEPING WITH SIRENS                                         |LEGENDS
WEEZER                                                       |FEELS LIKE SUMMER
KONGOS                                                       |COME WITH ME NOW
BLINK-182                                                    |SHE'S OUT OF HER MIND
THE STRUMBELLAS                                              |SPIRITS
KALEO                                                        |WAY DOWN WE GO
SUGAR RAY                                                    |FLY
NIRVANA                                                      |ABOUT A GIRL (LIVE)
THE GOO GOO DOLLS                                            |BLACK BALLOON
SUBLIME                                                      |DOIN' TIME
NIRVANA                                                      |DUMB
MATCHBOX TWENTY                                              |REAL WORLD
FLO RIDA                                                     |GOOD FEELING
YK OSIRIS                                                    |WORTH IT
ELLA MAI                                                     |TRIP
LIZZO                                                        |TRUTH HURTS
POLO G                                                       |POP OUT (FEAT. LIL TJAY)
HALSEY                                                       |BAD AT LOVE
LIL UZI VERT                                                 |THE WAY LIFE GOES
THE WEEKND                                                   |PARTY MONSTER
LIL PUMP                                                     |GUCCI GANG
THE WEEKND                                                   |DIE FOR YOU
N.E.R.D & RIHANNA                                            |LEMON
MIGUEL                                                       |SKY WALKER (FEAT. TRAVIS SCOTT)
MAROON 5                                                     |WHAT LOVERS DO (FEAT. SZA)
CARDI B                                                      |BODAK YELLOW
YO GOTTI                                                     |RAKE IT UP (FEAT. NICKI MINAJ)
GUCCI MANE                                                   |I GET THE BAG (FEAT. MIGOS)
TRAVIS SCOTT                                                 |BUTTERFLY EFFECT
TRAVIS SCOTT                                                 |GOOSEBUMPS (FEAT. KENDRICK LAMAR)
TY DOLLA $IGN                                                |LOVE U BETTER (FEAT. LIL WAYNE & THE-DREAM)
21 SAVAGE                                                    |BANK ACCOUNT
G-EAZY                                                       |NO LIMIT (FEAT. A$AP ROCKY & CARDI B)
DJ KHALED                                                    |I'M THE ONE (FEAT. JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE)
RAE SREMMURD                                                 |BLACK BEATLES (FEAT. GUCCI MANE)
DJ KHALED                                                    |DO YOU MIND (FEAT. NICKI MINAJ, CHRIS BROWN, AUGUST ALSINA, JEREMIH, FUTURE & RICK ROSS)
KYLE                                                         |ISPY (FEAT. LIL YACHTY)
SZA                                                          |LOVE GALORE (FEAT. TRAVIS SCOTT)
JEREMIH                                                      |OUI
LOGIC                                                        |1-800-273-8255 (FEAT. ALESSIA CARA & KHALID)
KENT JONES                                                   |DON'T MIND
BRUNO MARS                                                   |24K MAGIC
DRAKE                                                        |SIGNS
POST MALONE                                                  |CONGRATULATIONS (FEAT. QUAVO)
DRAKE                                                        |CONTROLLA
BAND OF HORSES                                               |THE FUNERAL
MODEST MOUSE                                                 |PAPER THIN WALLS
MODEST MOUSE                                                 |BABY BLUE SEDAN
MODEST MOUSE                                                 |TRAILER TRASH
MODEST MOUSE                                                 |I'VE GOT IT ALL (MOST)
TECH N9NE COLLABOS                                           |DYSFUNCTIONAL (FEAT. BIG SCOOB & KRIZZ KALIKO)
TECH N9NE                                                    |EINSTEIN
BIG KRIZZ KALIKO, TECH N9NE                                  |WELCOME TO THE MIDWEST
TRICK DADDY                                                  |LET'S GO (FEAT. TWISTA & LIL JON)
TECH N9NE                                                    |HARVEY DENT
E-40, TECH N9NE                                              |JELLYSICKLE
SKATTERMAN, SNUG BRIM, TECH N9NE                             |RIOT MAKER / ENJOY
TECH N9NE                                                    |IMMA TELL
TECH N9NE COLLABOS                                           |QUICKSAND (FEAT. BIG SCOOB, STEVIE STONE & GODEMIS)
TECH N9NE & DALIMA                                           |MY WORLD (FEAT. BROTHA LYNCH HUNG)
JEDI MIND TRICKS                                             |MAKING A KILLING (FEAT. THEA ALANA)
TECH N9NE                                                    |UNFAIR
TECH N9NE                                                    |SORRY N' SHIT
TECH N9NE                                                    |SLACKER
TECH N9NE                                                    |KLUSTERFUK
BODY HEAD BANGERZ                                            |CAN'T BE TOUCHED
TECH N9NE                                                    |NOTHIN'
TECH N9NE                                                    |PARTY AND BULLSHIT
KRIZZ KALIKO                                                 |UNSTABLE
TECH N9NE                                                    |SO DOPE (THEY WANNA)
TECH N9NE                                                    |B.I.T.C.H.
BIG KRIZZ KALIKO, TECH N9NE                                  |NO CAN DO
LINKIN PARK                                                  |WITH YOU
SKILLET                                                      |HERO
SEETHER                                                      |BROKEN (ITUNES ORIGINALS VERSION)
BREAKING BENJAMIN                                            |HAD ENOUGH
THREE DAYS GRACE                                             |HOME
KISS                                                         |ROCK AND ROLL ALL NITE
AC/DC                                                        |FOR THOSE ABOUT TO ROCK (WE SALUTE YOU)
CHRIS BROWN                                                  |DON'T CHECK ON ME (FEAT. JUSTIN BIEBER & INK)
KHALID & NORMANI                                             |LOVE LIES
BAZZI                                                        |MINE
IMAGINE DRAGONS                                              |THUNDER
MACHINE GUN KELLY & CAMILA CABELLO                           |BAD THINGS
P!NK                                                         |BEAUTIFUL TRAUMA
NF                                                           |LET YOU DOWN
BEBE REXHA                                                   |MEANT TO BE (FEAT. FLORIDA GEORGIA LINE)
DEMI LOVATO                                                  |TELL ME YOU LOVE ME
DEMI LOVATO                                                  |SORRY NOT SORRY
POST MALONE                                                  |ROCKSTAR (FEAT. 21 SAVAGE)
